Starting worker at 127.0.0.1:2030
starting 4 threads...
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
thread 140427485247232, recv size 3552, fitness 0.214 (0.191)
thread 140427476854528, recv size 3552, fitness 0.214 (0.198)
thread 140427468461824, recv size 3552, fitness 0.214 (0.213)
thread 140427460069120, recv size 3552, fitness 0.214 (0.199)
thread 140427485247232, recv size 3552, fitness 0.214 (0.191)
thread 140427476854528, recv size 3552, fitness 0.214 (0.206)
thread 140427468461824, recv size 3552, fitness 0.214 (0.205)
thread 140427460069120, recv size 3552, fitness 0.214 (0.202)
thread 140427485247232, recv size 3552, fitness 0.214 (0.206)
thread 140427476854528, recv size 3552, fitness 0.214 (0.201)
thread 140427468461824, recv size 3552, fitness 0.214 (0.212)
thread 140427460069120, recv size 3552, fitness 0.214 (0.192)
thread 140427485247232, recv size 3552, fitness 0.214 (0.205)
thread 140427476854528, recv size 3552, fitness 0.214 (0.194)
thread 140427468461824, recv size 3552, fitness 0.214 (0.2)
thread 140427485247232, recv size 3552, fitness 0.214 (0.199)
thread 140427460069120, recv size 3552, fitness 0.214 (0.206)
thread 140427476854528, recv size 3552, fitness 0.214 (0.206)
thread 140427468461824, recv size 3552, fitness 0.214 (0.2)
thread 140427485247232, recv size 3552, fitness 0.214 (0.192)
thread 140427460069120, recv size 3552, fitness 0.214 (0.201)
thread 140427476854528, recv size 3552, fitness 0.214 (0.197)
thread 140427468461824, recv size 3552, fitness 0.214 (0.203)
thread 140427460069120, recv size 3552, fitness 0.214 (0.201)
thread 140427485247232, recv size 3552, fitness 0.214 (0.19)
thread 140427476854528, recv size 3552, fitness 0.214 (0.205)
thread 140427468461824, recv size 3552, fitness 0.214 (0.197)
thread 140427460069120, recv size 3552, fitness 0.214 (0.204)
thread 140427485247232, recv size 3552, fitness 0.214 (0.2)
thread 140427476854528, recv size 3552, fitness 0.214 (0.192)
thread 140427468461824, recv size 3552, fitness 0.214 (0.209)
thread 140427460069120, recv size 3552, fitness 0.214 (0.194)
thread 140427485247232, recv size 3552, fitness 0.214 (0.21)
thread 140427476854528, recv size 3552, fitness 0.214 (0.196)
thread 140427468461824, recv size 3552, fitness 0.214 (0.204)
thread 140427460069120, recv size 3552, fitness 0.214 (0.2)
thread 140427485247232, recv size 3552, fitness 0.214 (0.2)
thread 140427476854528, recv size 3552, fitness 0.214 (0.191)
thread 140427468461824, recv size 3552, fitness 0.214 (0.208)
thread 140427460069120, recv size 3552, fitness 0.214 (0.199)
thread 140427485247232, recv size 3552, fitness 0.214 (0.196)
thread 140427476854528, recv size 3552, fitness 0.214 (0.191)
thread 140427468461824, send size 3552, fitness 0.214 (0.215)
thread 140427460069120, recv size 3552, fitness 0.215 (0.2)
thread 140427485247232, recv size 3552, fitness 0.215 (0.202)
thread 140427476854528, recv size 3552, fitness 0.215 (0.202)
thread 140427468461824, recv size 3552, fitness 0.215 (0.207)
thread 140427460069120, recv size 3552, fitness 0.215 (0.205)
thread 140427485247232, recv size 3552, fitness 0.215 (0.202)
thread 140427468461824, recv size 3552, fitness 0.215 (0.202)
thread 140427460069120, recv size 3552, fitness 0.215 (0.2)
thread 140427485247232, recv size 3552, fitness 0.215 (0.196)
thread 140427476854528, recv size 3552, fitness 0.215 (0.203)
thread 140427468461824, recv size 3552, fitness 0.215 (0.198)
thread 140427485247232, recv size 3552, fitness 0.215 (0.199)
thread 140427460069120, recv size 3552, fitness 0.215 (0.213)
thread 140427476854528, recv size 3552, fitness 0.215 (0.205)
thread 140427468461824, recv size 3552, fitness 0.215 (0.201)
thread 140427485247232, recv size 3552, fitness 0.215 (0.204)
thread 140427460069120, recv size 3552, fitness 0.215 (0.211)
thread 140427476854528, recv size 3552, fitness 0.215 (0.195)
thread 140427468461824, recv size 3552, fitness 0.215 (0.201)
thread 140427485247232, recv size 3552, fitness 0.215 (0.211)
thread 140427460069120, recv size 3552, fitness 0.215 (0.21)
thread 140427476854528, recv size 3552, fitness 0.215 (0.199)
thread 140427468461824, recv size 3552, fitness 0.215 (0.21)
thread 140427485247232, recv size 3552, fitness 0.215 (0.213)
thread 140427460069120, recv size 3552, fitness 0.215 (0.201)
thread 140427476854528, recv size 3552, fitness 0.215 (0.205)
thread 140427468461824, recv size 3552, fitness 0.215 (0.209)
thread 140427485247232, recv size 3552, fitness 0.215 (0.2)
thread 140427460069120, recv size 3552, fitness 0.215 (0.206)
thread 140427476854528, recv size 3552, fitness 0.215 (0.203)
thread 140427468461824, recv size 3552, fitness 0.215 (0.199)
thread 140427485247232, send size 3552, fitness 0.215 (0.216)
thread 140427460069120, recv size 3552, fitness 0.216 (0.202)
thread 140427476854528, recv size 3552, fitness 0.216 (0.208)
thread 140427468461824, recv size 3552, fitness 0.216 (0.205)
thread 140427485247232, send size 3552, fitness 0.216 (0.22)
